Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
279,Point,Station d'épuration de Sainte-Martine,69360-1,613,X2049400,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1991-10-01,2290,"2171,6",1000,115,"45,267,222","-738,025","Châteauguay, Rivière","Châteauguay, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,9
280,Point,Station d'épuration de Vaudreuil-Dorion,71083-1,502,X2049424,<Nul>,Boues activées,Boues activées à réacteur biologique séquentiel,Moyenne,5,2013-01-01,23700,12000,12000,1800,"45,383,333","-74,007,222","Outaouais, Rivière des","Outaouais, Rivière des",BA,<Nul>,7
281,Point,Station d'épuration de Saint-Télesphore (Village),71015-2,442,X2117564,<Nul>,Étangs aérés,Étangs aérés,Très petite,1,2011-07-01,103,"45,5","45,5","7,4","45,293,364","-74,390,329",<Nul>,"Beaudette, Rivière",EA (3 cell.); PD,<Nul>,2
282,Point,Station d'épuration de Noyan,56015-1,749,X2110924,<Nul>,Autres,Réacteur biologique à garnissage en suspension de type SMBR,Très petite,1,2010-10-01,1521,"65,7",400,"59,7","45,087,778","-73,305,556","Mosher-Daignault, Ruisseau","Richelieu, Rivière",BE; DÉC SEC; DÉG FIN; DESS AÉRÉ; PD; RBGS; UV,<Nul>,0
283,Point,Station d'épuration de Notre-Dame-de-Stanbridge,46100-1,283,X2109960,<Nul>,Autres,Marais artificiel (roseaux),Très petite,2,2010-09-01,474,"118,1",165,"26,2","45,174,444","-73,037,222","Morpions, Ruisseau","Richelieu, Rivière",FG; FS(F); ROS,<Nul>,1
284,Point,Station d'épuration d'Hinchinbrooke,69045-1,191,X2107643,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2010-11-01,180,"16,6",56,9,"4,503,683","-74,177,626","Hinchinbrooke, Rivière","Châteauguay, Rivière",EA (3 cell.); PD,<Nul>,1
285,Point,Station d'épuration de Rigaud,72680-1,295,X2049312,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1986-11-01,4192,3179,2650,300,"4,548,578","-74,298,939","Rigaud, Rivière","Outaouais, Rivière des",DÉG GR; DESS AÉRÉ; EA (3 cell.); PD,<Nul>,12
286,Point,Station d'épuration de Chambly,57005-3,641,X2049237,Carignan; Richelieu,Étangs aérés,Étangs aérés,Grande,6,2007-01-01,30571,"21510,7",21990,4242,"45,439,316","-73,255,222","Richelieu, Rivière","Richelieu, Rivière",DÉG GR; EA (4 cell.); PD,<Nul>,6
287,Point,Station d'épuration de Vallée-du-Richelieu (Beloeil),57040-1,614,X2049417,Beloeil; McMasterville; Mont-Saint-Hilaire,Physico-chimique,Physico-chimique,Grande,6,1998-06-01,50153,"30465,3",30436,3190,"45,593,333","-73,188,611","Richelieu, Rivière","Richelieu, Rivière",BPM; DÉC PRIM; DÉG GR; DESS AÉRÉ; PC; PD; UV,<Nul>,53
288,Point,Station d'épuration de Howick,69025-1,580,X2085374,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2007-09-01,621,"906,4",581,"33,1","45,190,833","-73,848,611","Anglais, Rivière des","Châteauguay, Rivière",EA (3 cell.); PD,<Nul>,3
289,Point,Station d'épuration de Saint-Clet,71045-1,292,X2084144,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1976-01-01,1029,"743,9",745,57,"45,353,889","-74,205,833","Rouge, Rivière","Rouge, Rivière",EA (2 cell.); EA (4 cell.); PD,<Nul>,1
290,Point,Station d'épuration de Saint-Télesphore (Dalhousie),71015-1,559,X2073547,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2006-11-01,182,"26,7",50,"9,1","45,299,444","-74,454,444",<Nul>,"Beaudette, Rivière",EA (3 cell.),<Nul>,1
291,Point,Station d'épuration de Saint-Michel,68050-2,835,X2062807,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2013-05-01,1456,584,584,94,"45,230,261","-73,557,227","Saint-Michel, Ruisseau","Tortue, Rivière de la",EA (4 cell.); PD,<Nul>,0
292,Point,Station d'épuration de Saint-Anicet,69070-1,272,X2062668,<Nul>,Disques biologiques,Disques biologiques Rotofix,Très petite,2,2005-10-01,250,"110,8",84,14,"45,143,611","-74,363,889","Saint-François, Lac",<Nul>,DÉC SEC; BD; FS; UV,<Nul>,1
293,Point,Station d'épuration de Saint-Jude,54110-1,537,X2056504,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2005-04-01,569,"164,6","200,1",32,"45,783,611","-72,991,944","Neuve, Décharge","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,2
294,Point,Station d'épuration de Saint-Charles-sur-Richelieu,57057-1,684,X2081875,Saint-Marc-sur-Richelieu,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Très petite,2,2009-01-01,1587,"436,1",602,86,"45,695,606","-73,188,469","Richelieu, Rivière","Richelieu, Rivière",ERR (2 cell.); PD,<Nul>,2
295,Point,Station d'épuration de Saint-Mathias-sur-Richelieu,55065-1,583,X2049361,<Nul>,Disques biologiques,Disques biologiques,Petite,3,1999-03-01,3551,"2334,6",3208,261,"45,488,333","-73,263,889","Richelieu, Rivière","Richelieu, Rivière",DÉC SEC; DÉG FIN; BD; PD; UV,<Nul>,6
296,Point,Station d'épuration de Carignan,57010-2,122,X2051463,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Moyenne,5,2012-01-01,11517,4300,4300,506,"45,458,599","-73,306,701","L'Acadie, Rivière","Richelieu, Rivière",EA (6 cell.); PD; UV,<Nul>,1
297,Point,Station d'épuration de Melocheville (Beauharnois),70460-1,153,X2049774,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1986-08-01,2145,"3613,4",1527,107,"45,321,111","-73,933,333","Saint-Louis, Lac",<Nul>,DÉG GR; EA (3 cell.),<Nul>,5
298,Point,Station d'épuration d'Acton-Vale,40400-1,130,X2049659,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1985-08-01,5100,"6381,8",9250,2315,"45,648,611","-725,875","Renne, Rivière le","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,9
299,Point,Station d'épuration de Brigham,38700-1,18,X2049619,<Nul>,Étangs aérés,Étangs aérés,Très petite,1,1993-11-01,201,"69,6",128,12,"45,248,333","-72,851,389","Yamaska Sud-Est, Rivière","Yamaska, Rivière",EA (2 cell.); PD,<Nul>,1
300,Point,Station d'épuration de Verchères,57520-1,520,X2049427,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1990-06-01,3600,"3311,8",4900,1017,"45,780,278","-73,353,611","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; DESS AÉRÉ; EA (4 cell.); PD,<Nul>,7
301,Point,Station d'épuration d'Upton,48035-1,526,X2049414,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1999-02-01,950,"726,6",475,128,"45,645,833","-72,670,278","Noire, Rivière","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,6
302,Point,Station d'épuration de Sorel-Tracy,50730-1,844,X2049402,Saint-Joseph-de-Sorel; Sainte-Anne-de-Sorel; Sorel-Tracy,Étangs aérés,Étangs aérés,Grande,6,1990-06-01,47342,"27280,9",41500,3708,"46,052,222","-73,090,833","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; DESS; EA (3 cell.); PD,<Nul>,15
303,Point,Station d'épuration de Sainte-Brigide-d'Iberville,56105-1,849,X2049394,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2004-01-01,835,"298,2",339,50,"45,324,919","-7,304,924","Cirque, Ruisseau","Yamaska, Rivière",EA (3 cell.); PD,<Nul>,3
304,Point,Station d'épuration de Saint-Rémi,68055-1,531,X2049377,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1996-02-01,4132,"4443,8",4300,747,"45,277,778","-73,617,778","Lefrançois, Ruisseau","Saint-Régis, Rivière",DÉG GR; EA (4 cell.); PD,<Nul>,2
305,Point,Station d'épuration de Saint-Philippe,67010-2,433,X2049372,Saint-Mathieu,Étangs aérés,Étangs aérés,Petite,3,2007-11-01,5410,"2208,3",1912,280,"45,378,611","-73,482,778","Saint-Jacques, Rivière","Saint-Jacques, Rivière",EA (4 cell.); PD,<Nul>,2
306,Point,Station d'épuration de Shefford,47035-1,536,X2110769,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2012-08-01,253,"101,3","101,3","12,7","45,389,722","-72,607,222",<Nul>,"Yamaska, Rivière",EA (3 cell.); FG; PD,<Nul>,1
307,Point,Station d'épuration de Stanbridge East,46045-1,487,X2110841,<Nul>,Disques biologiques,Disques biologiques Rotofix,Très petite,1,2009-10-01,279,"41,5",100,20,"45,117,778","-729,125","Brochets, Rivière aux","Richelieu, Rivière",BE; DÉC SEC; BD; PD; PP; UV,<Nul>,1
308,Point,Station d'épuration de Saint-Denis-sur-Richelieu (Patriotes),57068-5,524,X2125354,<Nul>,Disques biologiques,Disques biologiques,Très petite,1,2012-03-01,84,"28,9","28,9","4,2","45,821,602","-73,144,196","Richelieu, Rivière","Richelieu, Rivière",BD; PD; UV,<Nul>,1
309,Point,Station d'épuration de Bedford,54360-1,134,X2049233,Stanbridge Station,Étangs aérés,Étangs aérés,Moyenne,5,1992-08-01,2832,"4363,2",4375,585,"45,124,167","-729,975","Brochets, Rivière aux","Richelieu, Rivière",BE; DÉG GR; EA (3 cell.); PD,<Nul>,7
310,Point,Station d'épuration de Bromont,38780-1,255,X2049236,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1985-07-01,4000,"7757,3",5334,726,"45,281,111","-72,765,278","Yamaska, Rivière","Yamaska, Rivière",EA (6 cell.); PD,<Nul>,10
311,Point,Station d'épuration de Salaberry-de-Valleyfield,70670-1,826,90221326,<Nul>,Boues activées,Boues activées,Très grande,7,1987-09-01,51466,89300,89300,6442,"45,223,333","-74,073,056","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",BA; BA; DÉC SEC; DÉG FIN; DÉG GR; DESS; DESS AÉRÉ; UV,<Nul>,40
312,Point,Station d'épuration de Mont-Saint-Grégoire,56097-2,570,X2046767,<Nul>,Autres,Réacteur biologique à garnissage en suspension de type SMBR,Très petite,2,2009-01-01,880,"315,1",540,"60,4","45,333,611","-73,154,167","Quintin, Ruisseau","Richelieu, Rivière",DÉC SEC; DÉG FIN; PD; RBGS,<Nul>,4
313,Point,Station d'épuration de Saint-Valérien-de-Milton,54065-4,454,X2021040,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2009-10-01,800,"267,6",500,40,"45,564,167","-727,075","Village, Cours d'eau du","Yamaska, Rivière",EA (4 cell.); PD,<Nul>,1
314,Point,Station d'épuration de Montréal (Île Notre-Dame),00065-2,80,X2015679,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1994-06-01,44000,4960,5300,600,"45,520,833","-73,525,833","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (1 cell.),<Nul>,9
315,Point,Station d'épuration de Saint-Bruno-Saint-Basile-le-Grand,57020-1,680,90485947,Saint-Basile-le-Grand; Saint-Bruno-de-Montarville,Étangs aérés,Étangs aérés,Grande,6,1999-12-01,43112,"30764,1",25595,2715,"454,875","-73,268,333","Richelieu, Rivière","Richelieu, Rivière",DÉG GR; EA (4 cell.); PD,<Nul>,3
316,Point,Station d'épuration de Saint-Césaire,52240-1,548,22726319,Rougemont; Saint-Césaire,Étangs aérés,Étangs aérés,Moyenne,5,1996-09-01,5550,"4656,2",4541,1915,"45,414,444","-73,001,944","Yamaska, Rivière","Yamaska, Rivière",DÉG GR; EA (4 cell.); PD,<Nul>,2
317,Point,Station d'épuration de Saint-Ours (Saint-Roch),53040-1,430,13427422,Saint-Roch-de-Richelieu,Étangs aérés,Étangs aérés,Petite,3,1994-09-01,2055,"1600,8",1220,152,"45,904,167","-73,151,111","Richelieu, Rivière","Richelieu, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,2
318,Point,Station d'épuration de Roxton Pond,39340-1,310,90025131,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1987-12-01,790,"750,4",491,"42,7","45,48","-72,67","Mawcook, Rivière","Yamaska, Rivière",EA (3 cell.); PD,<Nul>,4
319,Point,Station d'épuration de Farnham,54750-1,149,X2006062,<Nul>,Boues activées,Boues activées à fossé d'oxydation,Moyenne,5,1986-10-01,6500,"10589,1",10750,1530,"45,289,722","-72,991,389","Yamaska, Rivière","Yamaska, Rivière",BA; DÉC SEC; DÉG GR; DESS; PD,<Nul>,8
320,Point,Station d'épuration de La Présentation,54035-1,53,X2005795,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2003-06-01,897,"555,4",430,46,"45,675","-73,058,889","Salvail, Rivière","Yamaska, Rivière",EA (2 cell.); PD,<Nul>,4
321,Point,Station d'épuration de Saint-Jean-sur-Richelieu,55750-1,699,X2003275,Sainte-Anne-de-Sabrevois,Physico-chimique,Physico-chimique,Très grande,7,1997-10-01,71934,"63514,9",75246,5588,"45,354,167","-73,255,278","Richelieu, Rivière","Richelieu, Rivière",DÉG GR; DESS AÉRÉ; FG; PC; PD; UV,<Nul>,52
322,Point,Station d'épuration d'Ange-Gardien,52120-1,55,X1606533,<Nul>,Étangs aérés,Étangs aérés avec bassin complètement mélangé,Petite,3,1993-02-01,1225,1293,1240,290,"45,365","-72,940,278","Village, Ruisseau du","Yamaska, Rivière",DÉG GR; EA (5 cell.); PD,<Nul>,4
323,Point,Station d'épuration de Marieville,55048-1,657,X1606423,<Nul>,Boues activées,Boues activées,Moyenne,5,2013-12-01,8775,6500,6500,1310,"45,438,738","-73,168,701","Saint-Louis, Ruisseau","Richelieu, Rivière",BA; DÉC SEC; DÉC TERT; DÉG FIN; DESS AÉRÉ; PD; RB; UV,<Nul>,14
324,Point,Station d'épuration de Notre-Dame-de-l'Île-Perrot,71065-1,752,X1606350,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,2009-09-01,12245,6600,7920,612,"45,354,946","-73,874,967","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG FIN; DÉG GR; DESS; EA (+6 cell.); PD,<Nul>,11
325,Point,Station d'épuration de Laval (Sainte-Rose-Auteuil),64500-2,215,90223710,<Nul>,Biofiltration,Biofiltration,Grande,6,1993-05-01,47683,"36233,2",36850,2600,"45,662,256","-73,751,295","Mille Îles, Rivière des","Mille Îles, Rivière des",BF; DÉC PRIM; DÉG GR; DESS; PP; UV,<Nul>,12
326,Point,Station d'épuration de Laval (Lapinière),64500-3,651,90387580,<Nul>,Physico-chimique,Physico-chimique,Très grande,8,1998-12-01,271630,"284326,4",233717,21842,"45,626,389","-73,637,222","Prairies, Rivière des","Prairies, Rivière des",DÉG GR; DESS AÉRÉ; PC; PD; PP; UV,<Nul>,122
327,Point,Station d'épuration de Laval (Fabreville),64500-1,646,90183617,<Nul>,Physico-chimique,Physico-chimique,Grande,6,1986-11-01,59000,"49284,5",44225,<Nul>,"45,579,722","-73,838,611","Mille Îles, Rivière des","Mille Îles, Rivière des",BPM; DÉG GR; DESS AÉRÉ; PC; PD; PP; UV,<Nul>,14
328,Point,Station d'épuration de Sainte-Anne-du-Lac,76700-1,95,X2051515,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1992-10-01,435,"290,2",249,22,"46,873,611","-75,320,833","Tapani, Rivière","Outaouais, Rivière des",EA (2 cell.),<Nul>,1
329,Point,Station d'épuration de Boisbriand,73005-1,634,90241159,<Nul>,Biofiltration,Biofiltration,Grande,6,2010-01-01,27300,"18650,1",24270,4000,"45,603,611","-73,829,722","Mille Îles, Rivière des","Mille Îles, Rivière des",BPM; BF; DÉC PRIM; DÉC TERT; DÉG FIN; DESS AÉRÉ; PD; PP; UV,<Nul>,6
330,Point,Station d'épuration de Sainte-Adèle (Mont-Gabriel),63450-2,256,90507203,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1989-09-01,773,"375,7",151,"21,5","45,917,222","-74,144,444","Nord, Rivière du","Outaouais, Rivière des",DÉG GR; EA (2 cell.); PD,<Nul>,2
331,Point,Station d'épuration de Deux-Montagnes,72010-1,541,90565532,Deux-Montagnes; Saint-Joseph-du-Lac; Sainte-Marthe-sur-le-Lac,Étangs aérés,Étangs aérés,Grande,6,1999-12-01,41137,"21173,6",21000,2030,"45,532,251","-7,388,708","Deux Montagnes, Lac des",<Nul>,DÉG GR; DESS; EA (6 cell.); PD,<Nul>,0
332,Point,Station d'épuration de Saint-Anne-des-Plaines,73035-1,686,X2051512,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1995-12-01,12750,5543,5350,810,"45,758,333","-73,816,389","La Corne, Ruisseau","Mascouche, Rivière",DÉG GR; EA (4 cell.); PD,<Nul>,4
333,Point,Station d'épuration de L'Ascension,76580-1,210,X2048658,<Nul>,Autres,Filtres à sable intermittents enfouis,Très petite,1,1992-01-01,483,"96,2",153,"24,2","46,546,256","-74,829,396","Rouge, Rivière","Outaouais, Rivière des",FIE; FS(F),<Nul>,1
334,Point,Station d'épuration de Sainte-Adèle (Mont-Gabriel),63450-2,908,90507203,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2018-08-01,0,"375,7",432,45,"45,917,222","-74,144,444","Nord, Rivière du","Outaouais, Rivière des",DÉG FIN; EA (3 cell.); PD,<Nul>,2
335,Point,Station d'épuration de Lac-des-Écorces,79075-1,59,X2048664,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1996-03-01,1512,"403,4",620,76,"46,555,278","-75,37","Kiamika, Rivière","Outaouais, Rivière des",EA (2 cell.); PD,<Nul>,2
336,Point,Station d'épuration Mont-Tremblant (Station Mont-Tremblant),78102-2,747,X2004848,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1999-09-01,2212,"2296,8",4425,885,"46,194,444","-74,575,833","Diable, Rivière du","Outaouais, Rivière des",EA (6 cell.); PD,<Nul>,0
337,Point,Station d'épuration de Sainte-Lucie-des-Laurentides,63590-1,838,X1500411,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1986-12-01,600,"1085,2",618,32,"46,128,611","-74,174,167",<Nul>,"Outaouais, Rivière des",DÉG GR; EA (3 cell.),<Nul>,0
338,Point,Station d'épuration de Val-David,63530-2,847,X1500410,Val-Morin,Étangs aérés,Étangs aérés,Petite,3,1981-06-01,4200,"1636,9",1640,200,"46,001,411","-74,146,999","Nord, Rivière du","Outaouais, Rivière des",DÉG GR; EA (2 cell.),<Nul>,0
339,Point,Station d'épuration de Saint-Sauveur,63440-1,555,X2049151,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1999-01-01,13500,"7710,3",6823,772,"45,881,944","-74,098,333","Nord, Rivière du","Outaouais, Rivière des",DÉG GR; DESS; EA (4 cell.); PD,<Nul>,6
340,Point,Station d'épuration de Lac-Supérieur (Fraternité-sur-le-Lac),78095-1,895,X2171474,<Nul>,Autres,Bionest,Très petite,1,2013-04-01,400,42,150,"43,5","46,206,753","-74,467,339",<Nul>,"Outaouais, Rivière des",BION; DÉC TERT; FS; PD; UV,<Nul>,0
341,Point,Station d'épuration de Val-Morin,63530-1,878,X2168387,<Nul>,Fosse septique,Fosse septique,Très petite,2,1980-10-01,105,"135,1","135,1",<Nul>,"4,601,021","-7,419,243","Nord, Rivière du","Outaouais, Rivière des",FG; FS,<Nul>,0
342,Point,Station d'épuration de Lachute,76020-1,205,90566274,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,2000-02-01,12809,"12708,9",8991,"911,5","45,630,556","-74,367,222","Nord, Rivière du","Outaouais, Rivière des",DÉG GR; EA (4 cell.); PD,<Nul>,20
343,Point,Station d'épuration de Rosemère (Lorraine),73025-1,675,90518127,Lorraine; Rosemère,Physico-chimique,Physico-chimique,Grande,6,1999-10-01,27000,"22320,2",21343,1607,"45,649,722","-73,769,444","Mille Îles, Rivière des","Mille Îles, Rivière des",DÉG GR; DESS AÉRÉ; PC; UV,<Nul>,2
344,Point,Station d'épuration de Saint-Adolphe-d'Howard,74660-1,779,X2051530,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1990-06-01,1522,"535,5",742,69,"45,968,873","-74,311,187","Sainte-Marie, Lac","Outaouais, Rivière des",DÉG GR; EA (2 cell.); FG; PD; UV,<Nul>,0
345,Point,Station d'épuration de Sainte-Marguerite-Lac-Masson,63580-1,169,X2051517,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1993-11-01,2149,"450,6",1062,169,"46,027,222","-74,055,278",<Nul>,"Outaouais, Rivière des",EA (4 cell.); PD,<Nul>,3
346,Point,Station d'épuration de Sainte-Agathe-des-Monts,63610-1,309,X2051511,<Nul>,Boues activées,Boues activées,Moyenne,5,1986-10-01,11500,"9801,6",8786,776,"46,050,833","-74,265","Nord, Rivière du","Outaouais, Rivière des",BPM; BA; DÉC SEC; DÉC TERT; DÉG GR; DESS; FG; PD; UV,<Nul>,5
347,Point,Station d'épuration de Rivière-Rouge (L'Annonciation),76520-1,304,X2051498,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1991-12-01,2200,"1352,3",1806,259,"46,405,556","-74,858,333","Rouge, Rivière","Outaouais, Rivière des",EA (2 cell.),<Nul>,4
348,Point,Station d'épuration de Mont-Tremblant (Saint-Jovite),78102-3,253,X2051490,<Nul>,Boues activées,Boues activées,Moyenne,5,2005-01-01,5620,5650,5650,450,"461,075","-74,61","Diable, Rivière du","Outaouais, Rivière des",BPM; BA; DÉC SEC; DÉG FIN; UV,<Nul>,8
349,Point,Station d'épuration de Brébeuf,63700-1,745,X2051461,<Nul>,Autres,Filtres intermittents à recirculation,Très petite,1,1994-12-01,256,49,74,"12,8","46,081,111","-74,668,611","Rouge, Rivière","Outaouais, Rivière des",DÉG GR; FG; FIR; FS; UV,<Nul>,0
350,Point,Station d'épuration de Saint-André-D'Argenteuil (Est),76005-1,804,X2049184,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1996-06-01,928,"581,1",393,66,"45,561,282","-74,323,076","Rouge, Rivière","Outaouais, Rivière des",EA (4 cell.); PD,<Nul>,0
351,Point,Station d'épuration de Saint-Eustache,72005-1,690,52674595,<Nul>,Biofiltration,Biofiltration,Grande,6,1995-03-01,47450,"30175,8",29800,2847,"45,567,778","-73,866,667","Mille Îles, Rivière des","Mille Îles, Rivière des",BPM; BF; DÉC PRIM; DÉG GR; DESS; PD; UV,<Nul>,21
352,Point,Station d'épuration de Mirabel (Saint-Benoît),73650-3,110,X2049167,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1995-04-01,900,"790,6",615,45,"45,573,056","-74,086,111","Prince, Ruisseau au","Chêne, Rivière du",DÉG GR; EA (2 cell.); PD,<Nul>,9
353,Point,Station d'épuration de Prévost,75040-1,74,X2049134,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,2011-11-01,7670,3920,3920,427,"45,836,667","-74,063,611","Nord, Rivière du","Outaouais, Rivière des",DÉG GR; EA (4 cell.); PD,<Nul>,6
354,Point,Station d'épuration de Mont-Laurier,76650-1,279,X2049127,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1985-11-01,8700,"6512,2",6735,1351,"46,538,889","-75,498,333","Lièvre, Rivière du","Outaouais, Rivière des",DÉG GR; DESS AÉRÉ; EA (3 cell.); PD,<Nul>,23
355,Point,Station d'épuration de Grenville,76055-1,579,X2049117,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Moyenne,5,2001-06-01,1524,"2558,2",1967,"100,4","45,620,556","-74,594,722","Outaouais, Rivière des","Outaouais, Rivière des",ERR (2 cell.),<Nul>,3
